{'name': 'АльфредАлексей3', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АлисаАмелия2', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АльфияАндрей9', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АлисаАрсен10', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АндрейАнгелина10', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АнжеликаАдонис6', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АркадийАвраам2', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АлсуАндрей6', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АврораАврора7', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АрхипАнна10', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АнтонинаАвгустин7', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АгатаАнфиса8', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АртемийАполлон10', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АлинаАнисий6', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АлисаАрина7', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АнгелинаАполлинарий1', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АртемийАнастасий13', 'sex': 'male', 'class_study': 11, 'point_study': 3}
{'name': 'АмалияАнтон6', 'sex': 'male', 'class_study': 11, 'point_study': 10}
{'name': 'АлсуАртем9', 'sex': 'male', 'class_study': 10, 'point_study': 10}
{'name': 'АкайоАрсен6', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнфисаАгния1', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АделинаАнжела5', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АлсуАртем13', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АгнияАполлон13', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АгафонАлан5', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АлинаАнисий12', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АнфисаАнатолий13', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АврораАльфред5', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АристархАгнесса13', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АлексейАнжела8', 'sex': 'male', 'class_study': 10, 'point_study': 4}
{'name': 'АнастасияАда4', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АланАполлон1', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АнфисаАделаида12', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АполлонАлексей12', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АнисийАлена7', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнжеликаАдонис9', 'sex': 'female', 'class_study': 10, 'point_study': 3}
{'name': 'АгафонАнатолий12', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АнастасийАлан6', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АланАнастасия13', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АнисийАвгустин12', 'sex': 'female', 'class_study': 10, 'point_study': 10}
{'name': 'АльбинаАнжела3', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АнтонАнатолий5', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АгнессаАнисий1', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АрсенАнтон13', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АртурАся11', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АрхипАвгуст11', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АристархАнгелина10', 'sex': 'male', 'class_study': 11, 'point_study': 4}
{'name': 'АртемАнжела2', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АвраамАльбина1', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АдаАрсений7', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АриаднаАльберт13', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АгнияАльфия10', 'sex': 'female', 'class_study': 10, 'point_study': 3}
{'name': 'АдаАмалия8', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АллаАнастасия9', 'sex': 'male', 'class_study': 11, 'point_study': 10}
{'name': 'АлевтинаАнатолий9', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АвраамАртур5', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АлександрАлина5', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АнастасийАнжелика9', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АринаАделаида3', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АркадийАртем10', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АристархАрсен4', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АлександрАлан13', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АртемАделаида3', 'sex': 'female', 'class_study': 11, 'point_study': 5}
{'name': 'АлсуАнтонина1', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АртемАртем12', 'sex': 'male', 'class_study': 10, 'point_study': 10}
{'name': 'АлисаАнфиса10', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АгафонАртем11', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АнатолийАлександра8', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АленаАртемий3', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АнгелинаАврора13', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АмалияАлан6', 'sex': 'female', 'class_study': 11, 'point_study': 3}
{'name': 'АльбинаАгата5', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АврораАнтон13', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АкулинаАмалия4', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АполлонАгния10', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АрсенАльберт12', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АндрейАлександра11', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АллаАльбина8', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АвраамАнастасия3', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АннаАльбина8', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АкайоАлевтина1', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АлевтинаАдонис1', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АнтонАгнесса12', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АдаАркадий11', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АртемийАделаида12', 'sex': 'male', 'class_study': 10, 'point_study': 10}
{'name': 'АннаАделаида11', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АнатолийАнатолий7', 'sex': 'female', 'class_study': 10, 'point_study': 10}
{'name': 'АврораАлина11', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АлександрАнгелина2', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АльфияАльбина3', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АркадийАнтон6', 'sex': 'male', 'class_study': 11, 'point_study': 5}
{'name': 'АнастасияАлина5', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АрсенАделаида13', 'sex': 'female', 'class_study': 11, 'point_study': 3}
{'name': 'АгнияАгния13', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АринаАлан3', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АгнессаАлевтина6', 'sex': 'male', 'class_study': 11, 'point_study': 5}
{'name': 'АгатаАнна13', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АристархАнастасия9', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АнфисаАлександр8', 'sex': 'female', 'class_study': 11, 'point_study': 5}
{'name': 'АкулинаАрсен3', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнатолийАвраам10', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АнжелаАлександра9', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АгнессаАгафон4', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АмелияАнжелика5', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АртурАда5', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АркадийАнастасий8', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АполлонАльфред10', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнжелаАполлинарий7', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АнгелинаАриадна12', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АльфредАнгелина4', 'sex': 'female', 'class_study': 11, 'point_study': 3}
{'name': 'АнастасияАмелия13', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АвгустинАлина13', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АнастасияАнтон13', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АльбертАделаида13', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АристархАкайо2', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АртемАльфред1', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АланАриадна3', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АрхипАдонис5', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АгнияАлина1', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АрсенийАнастасия10', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АлександрАлевтина2', 'sex': 'female', 'class_study': 11, 'point_study': 3}
{'name': 'АсяАлена11', 'sex': 'female', 'class_study': 11, 'point_study': 3}
{'name': 'АнатолийАполлинарий2', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АнатолийАнжелика5', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АльбинаАльфия6', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АнтонинаАртур8', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АннаАнжела7', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АлевтинаАлевтина4', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АринаАся2', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АрсенийАрсений4', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АльбинаАмелия6', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АнгелинаАделина3', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АринаАристарх13', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АмелияАльберт8', 'sex': 'male', 'class_study': 10, 'point_study': 4}
{'name': 'АристархАлла3', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АдаАгата4', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АллаАртемий4', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АриаднаАмалия10', 'sex': 'female', 'class_study': 11, 'point_study': 5}
{'name': 'АннаАльберт12', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АмелияАрсен13', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АкулинаАрсений2', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АркадийАркадий12', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АннаАврора11', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АлисаАлиса10', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АлександрАрхип10', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АнтонАгата10', 'sex': 'male', 'class_study': 11, 'point_study': 5}
{'name': 'АлсуАделаида6', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АрсенАнастасия5', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АртемАрхип11', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АллаАристарх8', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АвраамАльфред5', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АсяАгата4', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АркадийАгнесса11', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АполлонАнжелика12', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АкайоАлиса7', 'sex': 'male', 'class_study': 11, 'point_study': 4}
{'name': 'АгафонАгния12', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АрсенийАлиса8', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АленаАристарх8', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АвгустинАльберт9', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АрхипАндрей8', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АнгелинаАлина7', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АртемийАвгустин2', 'sex': 'female', 'class_study': 11, 'point_study': 4}
{'name': 'АриаднаАнастасий11', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АгнессаАнастасий11', 'sex': 'female', 'class_study': 11, 'point_study': 4}
{'name': 'АнгелинаАртем1', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АлександрАлександра11', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АнжелаАльфред5', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АдонисАгния13', 'sex': 'female', 'class_study': 11, 'point_study': 10}
{'name': 'АлександрАрина4', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АкулинаАрина3', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АделинаАдонис13', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АнатолийАполлинарий6', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АлевтинаАльбина1', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АлександрАлександр3', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АрхипАнжелика9', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АгатаАлександр5', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АмелияАркадий2', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АлексейАрсен9', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АмалияАртем4', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АльфияАндрей5', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АмалияАрсен12', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АльфияАлла5', 'sex': 'male', 'class_study': 11, 'point_study': 4}
{'name': 'АнтонАвгуст5', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АнтонАнжела13', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АдаАльбина8', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АнжеликаАнгелина12', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АнфисаАлександра4', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АлевтинаАртем2', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АннаАлсу8', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АринаАлександр9', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АмалияАвгуст3', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АнастасияАртем6', 'sex': 'male', 'class_study': 11, 'point_study': 5}
{'name': 'АкайоАлан6', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АльфияАрсен2', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АлександраАртур11', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АлисаАмалия7', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АрсенАполлинарий6', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АлександрАльбина3', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АкулинаАлла9', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АделаидаАртемий4', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АнжелаАнастасий9', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АлевтинаАмелия11', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АннаАртур4', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АрсенАнфиса4', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АркадийАгнесса4', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнфисаАгния12', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АдаАделина13', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АвгустинАрхип5', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АнастасийАделина3', 'sex': 'male', 'class_study': 11, 'point_study': 3}
{'name': 'АнжеликаАлина1', 'sex': 'female', 'class_study': 11, 'point_study': 10}
{'name': 'АланАркадий4', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АсяАнжелика4', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АнатолийАвраам13', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АделаидаАгафон2', 'sex': 'male', 'class_study': 11, 'point_study': 8}
{'name': 'АгнессаАнтонина8', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АврораАполлон5', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АртемАлина9', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АвгустАгата3', 'sex': 'female', 'class_study': 10, 'point_study': 9}
{'name': 'АльбертАнастасия10', 'sex': 'female', 'class_study': 10, 'point_study': 5}
{'name': 'АрхипАрина10', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АдаАльберт5', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АкулинаАристарх9', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АленаАртем12', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АндрейАрсений12', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АланАндрей13', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АнфисаАгата2', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АвгустинАлексей6', 'sex': 'female', 'class_study': 11, 'point_study': 5}
{'name': 'АвгустАлина1', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АртемАнжела12', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АлинаАнастасий1', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АврораАгния2', 'sex': 'male', 'class_study': 10, 'point_study': 3}
{'name': 'АринаАльбина3', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АльфредАрсений12', 'sex': 'male', 'class_study': 10, 'point_study': 5}
{'name': 'АполлинарийАполлинарий6', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АльфияАвгустин2', 'sex': 'female', 'class_study': 11, 'point_study': 10}
{'name': 'АмалияАмелия5', 'sex': 'male', 'class_study': 10, 'point_study': 8}
{'name': 'АлсуАлена9', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АрсенийАльфред7', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АвгустАлексей9', 'sex': 'male', 'class_study': 11, 'point_study': 5}
{'name': 'АриаднаАлсу7', 'sex': 'male', 'class_study': 11, 'point_study': 10}
{'name': 'АртемАнжелика4', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АполлинарийАгата13', 'sex': 'female', 'class_study': 11, 'point_study': 8}
{'name': 'АполлонАнисий8', 'sex': 'male', 'class_study': 10, 'point_study': 9}
{'name': 'АмелияАнастасия2', 'sex': 'female', 'class_study': 11, 'point_study': 6}
{'name': 'АланАся13', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АннаАнтон9', 'sex': 'male', 'class_study': 11, 'point_study': 9}
{'name': 'АвгустАлександра1', 'sex': 'female', 'class_study': 11, 'point_study': 9}
{'name': 'АннаАльбина10', 'sex': 'male', 'class_study': 11, 'point_study': 7}
{'name': 'АвгустинАльфред9', 'sex': 'male', 'class_study': 10, 'point_study': 7}
{'name': 'АнгелинаАркадий8', 'sex': 'female', 'class_study': 11, 'point_study': 7}
{'name': 'АвраамАгафон9', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АнисийАда1', 'sex': 'female', 'class_study': 10, 'point_study': 7}
{'name': 'АндрейАнжела1', 'sex': 'female', 'class_study': 10, 'point_study': 6}
{'name': 'АнастасийАгнесса11', 'sex': 'male', 'class_study': 10, 'point_study': 6}
{'name': 'АнтонАкайо13', 'sex': 'male', 'class_study': 10, 'point_study': 10}
{'name': 'АврораАгнесса1', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АполлонАртем12', 'sex': 'male', 'class_study': 11, 'point_study': 6}
{'name': 'АнгелинаАльфия4', 'sex': 'female', 'class_study': 10, 'point_study': 8}
{'name': 'АвгустинАмалия5', 'sex': 'female', 'class_study': 10, 'point_study': 6}
